,Criterion,Sensitivity (TP for exclusion),Sensitivity Calculation,Specificity (TN for inclusion),Specificity Calculation
69,"The patient has a documented allergy to oxaliplatin, irinotecan, leucovorin, fluorouracil, or pegfilgrastim.",0.0,N/A,1.0,24/24
70,The patient has a documented allergy to chimeric or humanized antibodies or fusion proteins.,0.0,N/A,1.0,24/24
71,The patient has a documented allergy to Chinese hamster ovary cell products or recombinant human antibodies.,0.0,N/A,1.0,24/24
72,"The patient has bradycardia with resting HR <50, hypotension with resting SBP <90mmHg, or vasomotor instability.",0.0,0/1,1.0,23/23
73,True if hemoglobin is less than 9.0,0.0,N/A,0.8333333333333334,20/24
74,ANC < 1.5E9/L,0.0,N/A,1.0,24/24
75,Lymphocyte count < 0.5E9/L,0.0,N/A,1.0,24/24
76,Platelets < 100E9/L,0.0,N/A,0.9583333333333334,23/24
77,Total bili > 1.5x ULN or > 3x ULN in Gilbert disease,0.5,1/2,0.9545454545454546,21/22
78,AST and ALT > 3x upper limit of normal,1.0,1/1,0.8695652173913043,20/23
79,"PT, aPTT, or INR > 2.5x upper limit of normal",0.0,N/A,1.0,24/24
80,Albumin < 3 g/dL,0.0,N/A,0.8333333333333334,20/24
81,GFR < 60 mL/min,0.0,N/A,1.0,24/24
82,CPK > 2.5x upper limit of normal,0.0,N/A,1.0,24/24
83,The patient has tested positive for HIV,0.0,N/A,1.0,24/24
84,The patient has active or symptomatic Hepatitis B,0.0,0/1,1.0,23/23
85,The patient has active or symptomatic Hepatitis C,0.0,0/1,1.0,23/23
86,The patient is actively breastfeeding,0.0,N/A,1.0,24/24
87,The patient's disease is unmeasurable on CT or MRI.,0.0,0/3,1.0,21/21
88,The patient's disease is not feasible or safe for biopsy.,0.0,N/A,1.0,24/24
89,The patient reports current or anticipated use of alternative medicine for the purpose of cancer treatment.,0.0,0/1,1.0,23/23
90,The patient's life expectancy is less than 3 months.,0.0,0/1,1.0,23/23
91,"The patient has contraindications for SBRT including the following: GI mucosal infiltration, significant planned overlap with prior abdominal radiotherapy.",0.0,N/A,1.0,24/24
92,The patient has a documented complete dihydropyrimidine dehydrogenase (DPD) deficiency including homozygous or compound heterozygous mutations of DPYD genetic locus associated with DPD deficiency.,0.0,N/A,1.0,24/24
93,The patient has been treated with a live attenuated vaccine within 4 weeks or anticipates a need for such tx during the study.,0.0,N/A,0.9583333333333334,23/24
94,There is concern for clot burden or DVT during the screening period and/or the patient is not on a stable anticoagulation regimen.,0.0,N/A,1.0,24/24
95,"The patient's disease is higher stage than T3N2M0 (i.e. T4, N3, or M1).",0.9333333333333333,14/15,0.8888888888888888,8/9
96,The patient is eligible for trial NCT03193190,0.875,7/8,1.0,16/16
97,The patient is eligible for trial NCT04104672,0.9,9/10,0.7857142857142857,11/14
98,The patient is eligible for trial NCT04543071,1.0,7/7,0.9411764705882353,16/17
99,The patient is eligible for trial NCT05241249,1.0,4/4,1.0,20/20
100,The patient is eligible for trial NCT03257033,1.0,1/1,1.0,23/23
101,The patient is eligible for trial NCT05254171,0.8888888888888888,8/9,0.7333333333333333,11/15
102,The patient is eligible for trial NCT06048484,0.0,N/A,0.9583333333333334,23/24
103,The patient is eligible for trial NCT05968326,1.0,3/3,0.9523809523809523,20/21
104,The patient is eligible for trial NCT05685602,0.0,0/1,1.0,23/23
